title,reviewer_name,verified_homebuyer,date,location,review_text,total_score,quality,trustworthiness,value,responsiveness
Good overall,Constance G.,Yes,2026-04-01,"OCALA, FL","A little overwhelming for me as a single elderly woman. There is so much that needs to be done other than buying a home. I believe I've got most of it done but it has taken some time. I think the o ly disappointment I experienced was the new home owners meet. All the info given was great, but I thought I would get a chance to meet new neighbors. I think it would have been nice for people to introduce themselves and share a little.",5,5,5,5,5
"Excellent, knowledgeable and responsive",Emily V.,Yes,2026-03-31,"Littleton, CO","Our experience exceeded our expectations. The team was knowledgeable, responsive and followed-up on everything from questions to warranty inquiries. Would 10/10 buy a Shea home again and recommend to friends and family",5,5,5,5,5
Overall great experience!,Lynn S.,Yes,2026-03-26,"Kuna, ID","This is our second Shea home! Our whole process has been exceptional! Our sales associate, Jasmine, was amazing! Ryan, our project manager, takes so much pride in the work he and his team do and it shows everywhere. Also, his communication was so refreshing through the whole building process. Ryan, our warranty specialist, has also been fantastic! He is so responsive to our needs, always very pleasant and knowledgeable. Beyond words, an overall fantastic experience! The whole team is wonderful! Thank you, Shea!",5,5,5,5,5
How we found Shea,Tyler P.,Yes,2026-03-24,"Marina, CA","We saw something on Zillow that made us want to visit. Setting up the appointment was difficult as we were unable to connect with anyone to confirm the appointment. But, we came out to the sales office anyway. Lupita could see that an appointment had been made online, but not with her. No problem. She showed us around and we saw all the open homes that were available to us. We fell in love!",5,5,5,5,5
Incredible Buying Experience,John C.,Yes,2026-03-20,"San Marcos, CA","This has been one of the best buying experiences I have ever had. This is my fourth purchase of a home (first time buying new). From the beginning with the salespeople to currently working with the warranty folks, the level of customer service has been incredible, and everything has gone as promised. I am extremely happy with the quality of my home and community. Definite shout out to Elizabeth for her top-notch support, communication & professionalism during the sales process. Shea's attention to detail is unmatched, which leads me to their warranty team. Paris and Rudy could not bemore accommodating. Their level of customer service is the reason I would never hesitate to buy another home from Shea. They want everything perfect and they have delivered on it from the start. Paris has been fantastic with her communication and speed of execution. She has exceeded all of my expectations. I can't thank her enough for all of her efforts. Bottom line is Shea treats you like family which is the greatest compliment I can give them.",5,5,5,5,5
We Love Our Home!,Garett S.,Yes,2026-03-18,"Lincoln, CA","The entire process from purchase to closing with Shea Homes was great. Everyone was available to ask questions throughout the process, and everyone from sales to the builders were friendly and accommodating to our needs. We were never told ""no"" by any of the teams. They wanted us to be happy and were glad to accommodate our requests. We absolutely love our home and we are very impressed with the workmanship. Whenever we have friends stop by, they are blown away with how nice it is. We will continue to recommend Shea Homes....",5,5,5,5,5
Matt was excellent,Bruce M.,Yes,2026-02-23,"San Tan Valley, AZ",Excellent service from everyone on team,5,5,5,5,5
Review,Lillian B.,Yes,2026-02-17,"Livermore, CA","Great for all; buying experience, working with the sales representative and all maintenance addressed at 1 month.",5,5,5,5,5
Steve,Steve K.,Yes,2026-02-09,"Las Vegas, NV","It was such a great process from initial deposit to move-in. Everyone involved, Melba, Vee, Michael, were awesome. We are so happy to be living here.",5,5,5,5,5
Superior Service from Start to Close of Escrow!,Robert D.,Yes,2026-02-05,"Marina, CA","It doesn't get any better than Josh, Bernadette and Lupita explaining, answering questions, selling, assisting you with paperwork, financial experts, compassionate and professional help through out the buying a Shea Home. You experience World Class treatment from the day you go into the sales office to get information, a brochure, veiw the models or get your keys to your new Shea Home which in my opinion is the best quality product and warranty on the market.",5,5,5,5,5
Smooth and positive!,Lei Z.,Yes,2026-01-29,"Irvine, CA","Overall, the home buying experience was smooth and positive. The progress was well organized., and communication was clear and timely. We appreciated the support and guidance throughout each stage, which made the experience reassuring and efficient.",5,5,5,5,5
